AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR
0.3|0.5|0.4|31|IIIf Unspecified intracranial and intraspinal neoplasms|80042731|0-19|All Races|Male and Female|2001
11.7|13.3|12.5|1007|IIa Hodgkin lymphomas|80042731|0-19|All Races|Male and Female|2001
8.0|9.3|8.6|694|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|80042731|0-19|All Races|Male and Female|2001
1.9|2.5|2.2|174|IIc Burkitt lymphoma|80042731|0-19|All Races|Male and Female|2001
0.6|1.0|0.8|64|IId Miscellaneous lymphoreticular neoplasms|80042731|0-19|All Races|Male and Female|2001
0.3|0.7|0.5|38|IIe Unspecified lymphomas|80042731|0-19|All Races|Male and Female|2001
8.2|9.5|8.9|709|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|80042731|0-19|All Races|Male and Female|2001
8.0|9.3|8.7|692|IVa Neuroblastoma and ganglioneuroblastoma|80042731|0-19|All Races|Male and Female|2001
0.1|0.3|0.2|17|IVb Other peripheral nervous cell tumors|80042731|0-19|All Races|Male and Female|2001
11.0|12.5|11.8|943|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|80042731|0-19|All Races|Male and Female|2001
4.4|5.4|4.9|388|IXa Rhabdomyosarcomas|80042731|0-19|All Races|Male and Female|2001
1.2|1.7|1.4|115|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|80042731|0-19|All Races|Male and Female|2001
~|~|~|~|IXc Kaposi sarcoma|80042731|0-19|All Races|Male and Female|2001
3.7|4.6|4.2|335|IXd Other specified soft tissue sarcomas|80042731|0-19|All Races|Male and Female|2001
1.0|1.5|1.3|102|IXe Unspecified soft tissue sarcomas|80042731|0-19|All Races|Male and Female|2001
31.6|34.1|32.8|2606|Ia Lymphoid leukemias|80042731|0-19|All Races|Male and Female|2001
7.2|8.4|7.8|624|Ib Acute myeloid leukemias|80042731|0-19|All Races|Male and Female|2001
2.0|2.7|2.3|186|Ic Chronic myeloproliferative diseases|80042731|0-19|All Races|Male and Female|2001
1.2|1.8|1.5|117|Id Myelodysplastic syndrome and other myeloproliferative diseases|80042731|0-19|All Races|Male and Female|2001
1.0|1.5|1.2|97|Ie Unspecified and other specified leukemias|80042731|0-19|All Races|Male and Female|2001
0.3|0.5|0.4|31|Not classified by ICCC|80042731|0-19|All Races|Male and Female|2001
2.9|3.7|3.3|266|V RETINOBLASTOMA|80042731|0-19|All Races|Male and Female|2001
6.2|7.4|6.8|539|VI RENAL TUMORS|80042731|0-19|All Races|Male and Female|2001
1.7|2.3|2.0|158|VII HEPATIC TUMORS|80042731|0-19|All Races|Male and Female|2001
8.9|10.3|9.6|771|VIII MALIGNANT BONE TUMORS|80042731|0-19|All Races|Male and Female|2001
4.7|5.7|5.2|420|VIIIa Osteosarcomas|80042731|0-19|All Races|Male and Female|2001
0.3|0.5|0.4|30|VIIIb Chondrosarcomas|80042731|0-19|All Races|Male and Female|2001
3.0|3.8|3.4|274|VIIIc Ewing tumor and related sarcomas of bone|80042731|0-19|All Races|Male and Female|2001
0.3|0.6|0.4|36|VIIId Other specified malignant bone tumors|80042731|0-19|All Races|Male and Female|2001
~|~|~|~|VIIIe Unspecified malignant bone tumors|80042731|0-19|All Races|Male and Female|2001
1.2|1.7|1.4|114|VIIa Hepatoblastoma and mesenchymal tumors of liver|80042731|0-19|All Races|Male and Female|2001
0.4|0.7|0.5|43|VIIb Hepatic carcinomas|80042731|0-19|All Races|Male and Female|2001
~|~|~|~|VIIc Unspecified malignant hepatic tumors|80042731|0-19|All Races|Male and Female|2001
5.7|6.8|6.2|493|VIa Nephroblastoma and other non-epithelial renal tumors|80042731|0-19|All Races|Male and Female|2001
0.4|0.7|0.5|43|VIb Renal carcinomas|80042731|0-19|All Races|Male and Female|2001
~|~|~|~|VIc Unspecified malignant renal tumors|80042731|0-19|All Races|Male and Female|2001
9.6|11.0|10.3|830|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|80042731|0-19|All Races|Male and Female|2001
15.4|17.1|16.2|1307|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|80042731|0-19|All Races|Male and Female|2001
0.7|1.2|0.9|74|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|80042731|0-19|All Races|Male and Female|2001
0.3|0.6|0.4|32|XIIa Other specified malignant tumors|80042731|0-19|All Races|Male and Female|2001
0.4|0.7|0.5|42|XIIb Other unspecified malignant tumors|80042731|0-19|All Races|Male and Female|2001
0.1|0.4|0.2|18|XIa Adrenocortical carcinomas|80042731|0-19|All Races|Male and Female|2001
5.3|6.4|5.8|468|XIb Thyroid carcinomas|80042731|0-19|All Races|Male and Female|2001
0.4|0.7|0.5|43|XIc Nasopharyngeal carcinomas|80042731|0-19|All Races|Male and Female|2001
5.2|6.3|5.8|463|XId Malignant melanomas|80042731|0-19|All Races|Male and Female|2001
~|~|~|~|XIe Skin carcinomas|80042731|0-19|All Races|Male and Female|2001
3.4|4.3|3.8|308|XIf Other and unspecified carcinomas|80042731|0-19|All Races|Male and Female|2001
1.3|1.9|1.6|128|Xa Intracranial and intraspinal germ cell tumors|80042731|0-19|All Races|Male and Female|2001
1.3|1.9|1.6|126|Xb Malignant extracranial and extragonadal germ cell tumors|80042731|0-19|All Races|Male and Female|2001
6.0|7.1|6.5|525|Xc Malignant gonadal germ cell tumors|80042731|0-19|All Races|Male and Female|2001
0.2|0.5|0.3|27|Xd Gonadal carcinomas|80042731|0-19|All Races|Male and Female|2001
0.2|0.4|0.3|24|Xe Other and unspecified malignant gonadal tumors|80042731|0-19|All Races|Male and Female|2001
167.6|173.3|170.4|13699|All ICCC Groups Combined|80317363|0-19|All Races|Male and Female|2002
43.2|46.1|44.6|3567|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|80317363|0-19|All Races|Male and Female|2002
23.5|25.7|24.6|1989|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|80317363|0-19|All Races|Male and Female|2002
30.2|32.7|31.4|2513|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|80317363|0-19|All Races|Male and Female|2002
2.6|3.3|2.9|236|IIIa Ependymomas and choroid plexus tumor|80317363|0-19|All Races|Male and Female|2002
14.6|16.3|15.4|1237|IIIb Astrocytomas|80317363|0-19|All Races|Male and Female|2002
5.8|6.9|6.3|505|IIIc Intracranial and intraspinal embryonal tumors|80317363|0-19|All Races|Male and Female|2002
5.1|6.1|5.6|444|IIId Other gliomas|80317363|0-19|All Races|Male and Female|2002
0.5|0.9|0.7|58|IIIe Other specified intracranial and intraspinal neoplasms|80317363|0-19|All Races|Male and Female|2002
0.3|0.6|0.4|33|IIIf Unspecified intracranial and intraspinal neoplasms|80317363|0-19|All Races|Male and Female|2002
11.6|13.1|12.4|1003|IIa Hodgkin lymphomas|80317363|0-19|All Races|Male and Female|2002
7.6|8.9|8.2|664|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|80317363|0-19|All Races|Male and Female|2002
2.4|3.1|2.7|220|IIc Burkitt lymphoma|80317363|0-19|All Races|Male and Female|2002
0.7|1.2|0.9|74|IId Miscellaneous lymphoreticular neoplasms|80317363|0-19|All Races|Male and Female|2002
0.2|0.5|0.3|28|IIe Unspecified lymphomas|80317363|0-19|All Races|Male and Female|2002
7.8|9.1|8.5|678|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|80317363|0-19|All Races|Male and Female|2002
7.6|8.9|8.3|660|IVa Neuroblastoma and ganglioneuroblastoma|80317363|0-19|All Races|Male and Female|2002
0.1|0.4|0.2|18|IVb Other peripheral nervous cell tumors|80317363|0-19|All Races|Male and Female|2002
11.0|12.5|11.7|941|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|80317363|0-19|All Races|Male and Female|2002
4.3|5.2|4.7|378|IXa Rhabdomyosarcomas|80317363|0-19|All Races|Male and Female|2002
1.0|1.4|1.2|95|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|80317363|0-19|All Races|Male and Female|2002
~|~|~|~|IXc Kaposi sarcoma|80317363|0-19|All Races|Male and Female|2002
4.3|5.3|4.8|389|IXd Other specified soft tissue sarcomas|80317363|0-19|All Races|Male and Female|2002
0.8|1.2|1.0|79|IXe Unspecified soft tissue sarcomas|80317363|0-19|All Races|Male and Female|2002
30.4|32.9|31.7|2524|Ia Lymphoid leukemias|80317363|0-19|All Races|Male and Female|2002
7.6|8.9|8.2|662|Ib Acute myeloid leukemias|80317363|0-19|All Races|Male and Female|2002
1.8|2.4|2.1|170|Ic Chronic myeloproliferative diseases|80317363|0-19|All Races|Male and Female|2002
1.3|1.8|1.5|122|Id Myelodysplastic syndrome and other myeloproliferative diseases|80317363|0-19|All Races|Male and Female|2002
0.9|1.4|1.1|89|Ie Unspecified and other specified leukemias|80317363|0-19|All Races|Male and Female|2002
0.3|0.6|0.4|35|Not classified by ICCC|80317363|0-19|All Races|Male and Female|2002
2.4|3.2|2.8|224|V RETINOBLASTOMA|80317363|0-19|All Races|Male and Female|2002
5.9|7.1|6.5|517|VI RENAL TUMORS|80317363|0-19|All Races|Male and Female|2002
1.6|2.2|1.9|150|VII HEPATIC TUMORS|80317363|0-19|All Races|Male and Female|2002
8.5|9.8|9.1|740|VIII MALIGNANT BONE TUMORS|80317363|0-19|All Races|Male and Female|2002
4.4|5.4|4.9|397|VIIIa Osteosarcomas|80317363|0-19|All Races|Male and Female|2002
0.4|0.7|0.5|41|VIIIb Chondrosarcomas|80317363|0-19|All Races|Male and Female|2002
2.7|3.5|3.1|248|VIIIc Ewing tumor and related sarcomas of bone|80317363|0-19|All Races|Male and Female|2002
0.4|0.7|0.5|43|VIIId Other specified malignant bone tumors|80317363|0-19|All Races|Male and Female|2002
~|~|~|~|VIIIe Unspecified malignant bone tumors|80317363|0-19|All Races|Male and Female|2002
1.1|1.6|1.3|107|VIIa Hepatoblastoma and mesenchymal tumors of liver|80317363|0-19|All Races|Male and Female|2002
0.4|0.7|0.5|42|VIIb Hepatic carcinomas|80317363|0-19|All Races|Male and Female|2002
~|~|~|~|VIIc Unspecified malignant hepatic tumors|80317363|0-19|All Races|Male and Female|2002
5.5|6.6|6.0|479|VIa Nephroblastoma and other non-epithelial renal tumors|80317363|0-19|All Races|Male and Female|2002
0.3|0.6|0.5|37|VIb Renal carcinomas|80317363|0-19|All Races|Male and Female|2002
~|~|~|~|VIc Unspecified malignant renal tumors|80317363|0-19|All Races|Male and Female|2002
10.3|11.7|11.0|888|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|80317363|0-19|All Races|Male and Female|2002
16.2|18.0|17.1|1384|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|80317363|0-19|All Races|Male and Female|2002
0.7|1.1|0.9|73|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|80317363|0-19|All Races|Male and Female|2002
0.3|0.6|0.5|38|XIIa Other specified malignant tumors|80317363|0-19|All Races|Male and Female|2002
0.3|0.6|0.4|35|XIIb Other unspecified malignant tumors|80317363|0-19|All Races|Male and Female|2002
0.1|0.4|0.2|19|XIa Adrenocortical carcinomas|80317363|0-19|All Races|Male and Female|2002
5.3|6.4|5.9|476|XIb Thyroid carcinomas|80317363|0-19|All Races|Male and Female|2002
0.4|0.8|0.6|49|XIc Nasopharyngeal carcinomas|80317363|0-19|All Races|Male and Female|2002
5.9|7.0|6.5|523|XId Malignant melanomas|80317363|0-19|All Races|Male and Female|2002
~|~|~|~|XIe Skin carcinomas|80317363|0-19|All Races|Male and Female|2002
3.4|4.2|3.8|308|XIf Other and unspecified carcinomas|80317363|0-19|All Races|Male and Female|2002
1.4|1.9|1.6|131|Xa Intracranial and intraspinal germ cell tumors|80317363|0-19|All Races|Male and Female|2002
1.3|1.9|1.6|126|Xb Malignant extracranial and extragonadal germ cell tumors|80317363|0-19|All Races|Male and Female|2002
6.6|7.8|7.2|580|Xc Malignant gonadal germ cell tumors|80317363|0-19|All Races|Male and Female|2002
0.2|0.5|0.3|28|Xd Gonadal carcinomas|80317363|0-19|All Races|Male and Female|2002
0.2|0.4|0.3|23|Xe Other and unspecified malignant gonadal tumors|80317363|0-19|All Races|Male and Female|2002
164.7|170.3|167.5|13675|All ICCC Groups Combined|81425816|0-19|All Races|Male and Female|2003
41.8|44.7|43.3|3508|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|81425816|0-19|All Races|Male and Female|2003
23.1|25.3|24.2|1984|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|81425816|0-19|All Races|Male and Female|2003
29.0|31.4|30.2|2448|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|81425816|0-19|All Races|Male and Female|2003
2.0|2.6|2.3|186|IIIa Ependymomas and choroid plexus tumor|81425816|0-19|All Races|Male and Female|2003
14.5|16.3|15.4|1250|IIIb Astrocytomas|81425816|0-19|All Races|Male and Female|2003
5.6|6.7|6.1|492|IIIc Intracranial and intraspinal embryonal tumors|81425816|0-19|All Races|Male and Female|2003
4.7|5.7|5.2|422|IIId Other gliomas|81425816|0-19|All Races|Male and Female|2003
0.7|1.1|0.8|68|IIIe Other specified intracranial and intraspinal neoplasms|81425816|0-19|All Races|Male and Female|2003
0.2|0.5|0.4|30|IIIf Unspecified intracranial and intraspinal neoplasms|81425816|0-19|All Races|Male and Female|2003
11.6|13.2|12.4|1023|IIa Hodgkin lymphomas|81425816|0-19|All Races|Male and Female|2003
7.4|8.7|8.0|657|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|81425816|0-19|All Races|Male and Female|2003
2.3|3.0|2.6|212|IIc Burkitt lymphoma|81425816|0-19|All Races|Male and Female|2003
0.7|1.2|0.9|76|IId Miscellaneous lymphoreticular neoplasms|81425816|0-19|All Races|Male and Female|2003
0.1|0.3|0.2|16|IIe Unspecified lymphomas|81425816|0-19|All Races|Male and Female|2003
7.6|8.8|8.2|668|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|81425816|0-19|All Races|Male and Female|2003
7.4|8.7|8.0|653|IVa Neuroblastoma and ganglioneuroblastoma|81425816|0-19|All Races|Male and Female|2003
~|~|~|~|IVb Other peripheral nervous cell tumors|81425816|0-19|All Races|Male and Female|2003
11.3|12.8|12.0|984|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|81425816|0-19|All Races|Male and Female|2003
4.2|5.1|4.6|376|IXa Rhabdomyosarcomas|81425816|0-19|All Races|Male and Female|2003
1.2|1.8|1.5|120|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|81425816|0-19|All Races|Male and Female|2003
~|~|~|~|IXc Kaposi sarcoma|81425816|0-19|All Races|Male and Female|2003
4.2|5.1|4.6|382|IXd Other specified soft tissue sarcomas|81425816|0-19|All Races|Male and Female|2003
1.0|1.5|1.2|103|IXe Unspecified soft tissue sarcomas|81425816|0-19|All Races|Male and Female|2003
29.3|31.7|30.5|2461|Ia Lymphoid leukemias|81425816|0-19|All Races|Male and Female|2003
7.3|8.5|7.8|642|Ib Acute myeloid leukemias|81425816|0-19|All Races|Male and Female|2003
2.1|2.7|2.4|195|Ic Chronic myeloproliferative diseases|81425816|0-19|All Races|Male and Female|2003
1.4|2.0|1.7|137|Id Myelodysplastic syndrome and other myeloproliferative diseases|81425816|0-19|All Races|Male and Female|2003
0.7|1.1|0.9|73|Ie Unspecified and other specified leukemias|81425816|0-19|All Races|Male and Female|2003
0.2|0.5|0.4|29|Not classified by ICCC|81425816|0-19|All Races|Male and Female|2003
2.7|3.5|3.1|251|V RETINOBLASTOMA|81425816|0-19|All Races|Male and Female|2003
6.1|7.3|6.7|539|VI RENAL TUMORS|81425816|0-19|All Races|Male and Female|2003
2.0|2.6|2.3|187|VII HEPATIC TUMORS|81425816|0-19|All Races|Male and Female|2003
8.1|9.4|8.7|717|VIII MALIGNANT BONE TUMORS|81425816|0-19|All Races|Male and Female|2003
4.8|5.8|5.3|436|VIIIa Osteosarcomas|81425816|0-19|All Races|Male and Female|2003
0.2|0.4|0.3|25|VIIIb Chondrosarcomas|81425816|0-19|All Races|Male and Female|2003
2.2|2.9|2.6|211|VIIIc Ewing tumor and related sarcomas of bone|81425816|0-19|All Races|Male and Female|2003
0.2|0.5|0.3|28|VIIId Other specified malignant bone tumors|81425816|0-19|All Races|Male and Female|2003
0.1|0.3|0.2|17|VIIIe Unspecified malignant bone tumors|81425816|0-19|All Races|Male and Female|2003
1.4|2.0|1.7|138|VIIa Hepatoblastoma and mesenchymal tumors of liver|81425816|0-19|All Races|Male and Female|2003
0.4|0.8|0.6|49|VIIb Hepatic carcinomas|81425816|0-19|All Races|Male and Female|2003
~|~|~|~|VIIc Unspecified malignant hepatic tumors|81425816|0-19|All Races|Male and Female|2003
5.6|6.7|6.1|491|VIa Nephroblastoma and other non-epithelial renal tumors|81425816|0-19|All Races|Male and Female|2003
0.4|0.7|0.5|44|VIb Renal carcinomas|81425816|0-19|All Races|Male and Female|2003
~|~|~|~|VIc Unspecified malignant renal tumors|81425816|0-19|All Races|Male and Female|2003
9.6|11.0|10.3|849|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|81425816|0-19|All Races|Male and Female|2003
16.3|18.1|17.1|1418|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|81425816|0-19|All Races|Male and Female|2003
0.9|1.4|1.1|93|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|81425816|0-19|All Races|Male and Female|2003
0.4|0.7|0.5|45|XIIa Other specified malignant tumors|81425816|0-19|All Races|Male and Female|2003
0.4|0.8|0.6|48|XIIb Other unspecified malignant tumors|81425816|0-19|All Races|Male and Female|2003
0.1|0.4|0.2|20|XIa Adrenocortical carcinomas|81425816|0-19|All Races|Male and Female|2003
5.7|6.8|6.2|514|XIb Thyroid carcinomas|81425816|0-19|All Races|Male and Female|2003
0.5|0.9|0.7|54|XIc Nasopharyngeal carcinomas|81425816|0-19|All Races|Male and Female|2003
5.4|6.5|5.9|489|XId Malignant melanomas|81425816|0-19|All Races|Male and Female|2003
~|~|~|~|XIe Skin carcinomas|81425816|0-19|All Races|Male and Female|2003
3.6|4.5|4.0|331|XIf Other and unspecified carcinomas|81425816|0-19|All Races|Male and Female|2003
1.1|1.6|1.3|111|Xa Intracranial and intraspinal germ cell tumors|81425816|0-19|All Races|Male and Female|2003
1.2|1.7|1.5|120|Xb Malignant extracranial and extragonadal germ cell tumors|81425816|0-19|All Races|Male and Female|2003
6.2|7.3|6.7|557|Xc Malignant gonadal germ cell tumors|81425816|0-19|All Races|Male and Female|2003
0.2|0.5|0.3|28|Xd Gonadal carcinomas|81425816|0-19|All Races|Male and Female|2003
0.3|0.6|0.4|33|Xe Other and unspecified malignant gonadal tumors|81425816|0-19|All Races|Male and Female|2003
171.4|177.1|174.2|14315|All ICCC Groups Combined|81754354|0-19|All Races|Male and Female|2004
44.7|47.6|46.1|3762|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|81754354|0-19|All Races|Male and Female|2004
23.1|25.3|24.2|2001|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|81754354|0-19|All Races|Male and Female|2004
30.9|33.4|32.1|2616|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|81754354|0-19|All Races|Male and Female|2004
2.4|3.1|2.7|223|IIIa Ependymomas and choroid plexus tumor|81754354|0-19|All Races|Male and Female|2004
15.6|17.4|16.5|1343|IIIb Astrocytomas|81754354|0-19|All Races|Male and Female|2004
6.0|7.1|6.6|532|IIIc Intracranial and intraspinal embryonal tumors|81754354|0-19|All Races|Male and Female|2004
4.7|5.7|5.1|416|IIId Other gliomas|81754354|0-19|All Races|Male and Female|2004
0.5|0.9|0.7|59|IIIe Other specified intracranial and intraspinal neoplasms|81754354|0-19|All Races|Male and Female|2004
0.4|0.7|0.5|43|IIIf Unspecified intracranial and intraspinal neoplasms|81754354|0-19|All Races|Male and Female|2004
11.2|12.6|11.9|991|IIa Hodgkin lymphomas|81754354|0-19|All Races|Male and Female|2004
7.9|9.2|8.5|705|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|81754354|0-19|All Races|Male and Female|2004
2.0|2.7|2.3|191|IIc Burkitt lymphoma|81754354|0-19|All Races|Male and Female|2004
0.9|1.3|1.1|87|IId Miscellaneous lymphoreticular neoplasms|81754354|0-19|All Races|Male and Female|2004
0.2|0.5|0.3|27|IIe Unspecified lymphomas|81754354|0-19|All Races|Male and Female|2004
7.9|9.1|8.5|696|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|81754354|0-19|All Races|Male and Female|2004
7.6|8.9|8.2|673|IVa Neuroblastoma and ganglioneuroblastoma|81754354|0-19|All Races|Male and Female|2004
0.2|0.4|0.3|23|IVb Other peripheral nervous cell tumors|81754354|0-19|All Races|Male and Female|2004
11.1|12.6|11.9|980|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|81754354|0-19|All Races|Male and Female|2004
3.7|4.6|4.2|341|IXa Rhabdomyosarcomas|81754354|0-19|All Races|Male and Female|2004
1.1|1.6|1.4|113|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|81754354|0-19|All Races|Male and Female|2004
~|~|~|~|IXc Kaposi sarcoma|81754354|0-19|All Races|Male and Female|2004
4.6|5.6|5.1|424|IXd Other specified soft tissue sarcomas|81754354|0-19|All Races|Male and Female|2004
1.0|1.4|1.2|98|IXe Unspecified soft tissue sarcomas|81754354|0-19|All Races|Male and Female|2004
31.9|34.4|33.1|2691|Ia Lymphoid leukemias|81754354|0-19|All Races|Male and Female|2004
7.7|8.9|8.3|680|Ib Acute myeloid leukemias|81754354|0-19|All Races|Male and Female|2004
1.9|2.6|2.2|184|Ic Chronic myeloproliferative diseases|81754354|0-19|All Races|Male and Female|2004
1.1|1.6|1.4|112|Id Myelodysplastic syndrome and other myeloproliferative diseases|81754354|0-19|All Races|Male and Female|2004
0.9|1.4|1.2|95|Ie Unspecified and other specified leukemias|81754354|0-19|All Races|Male and Female|2004
0.3|0.6|0.5|38|Not classified by ICCC|81754354|0-19|All Races|Male and Female|2004
2.8|3.6|3.2|265|V RETINOBLASTOMA|81754354|0-19|All Races|Male and Female|2004
5.9|7.0|6.5|526|VI RENAL TUMORS|81754354|0-19|All Races|Male and Female|2004
2.2|2.9|2.6|210|VII HEPATIC TUMORS|81754354|0-19|All Races|Male and Female|2004
8.4|9.7|9.1|750|VIII MALIGNANT BONE TUMORS|81754354|0-19|All Races|Male and Female|2004
4.6|5.6|5.1|424|VIIIa Osteosarcomas|81754354|0-19|All Races|Male and Female|2004
0.4|0.7|0.5|43|VIIIb Chondrosarcomas|81754354|0-19|All Races|Male and Female|2004
2.4|3.1|2.8|228|VIIIc Ewing tumor and related sarcomas of bone|81754354|0-19|All Races|Male and Female|2004
0.4|0.7|0.5|42|VIIId Other specified malignant bone tumors|81754354|0-19|All Races|Male and Female|2004
~|~|~|~|VIIIe Unspecified malignant bone tumors|81754354|0-19|All Races|Male and Female|2004
1.6|2.3|1.9|158|VIIa Hepatoblastoma and mesenchymal tumors of liver|81754354|0-19|All Races|Male and Female|2004
0.4|0.8|0.6|48|VIIb Hepatic carcinomas|81754354|0-19|All Races|Male and Female|2004
~|~|~|~|VIIc Unspecified malignant hepatic tumors|81754354|0-19|All Races|Male and Female|2004
5.3|6.4|5.9|476|VIa Nephroblastoma and other non-epithelial renal tumors|81754354|0-19|All Races|Male and Female|2004
0.4|0.8|0.6|47|VIb Renal carcinomas|81754354|0-19|All Races|Male and Female|2004
~|~|~|~|VIc Unspecified malignant renal tumors|81754354|0-19|All Races|Male and Female|2004
10.4|11.9|11.1|928|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|81754354|0-19|All Races|Male and Female|2004
16.7|18.5|17.6|1467|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|81754354|0-19|All Races|Male and Female|2004
0.7|1.2|0.9|76|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|81754354|0-19|All Races|Male and Female|2004
0.3|0.6|0.4|34|XIIa Other specified malignant tumors|81754354|0-19|All Races|Male and Female|2004
0.4|0.7|0.5|42|XIIb Other unspecified malignant tumors|81754354|0-19|All Races|Male and Female|2004
0.1|0.4|0.2|19|XIa Adrenocortical carcinomas|81754354|0-19|All Races|Male and Female|2004
6.3|7.4|6.8|570|XIb Thyroid carcinomas|81754354|0-19|All Races|Male and Female|2004
0.4|0.7|0.5|46|XIc Nasopharyngeal carcinomas|81754354|0-19|All Races|Male and Female|2004
5.9|7.0|6.4|536|XId Malignant melanomas|81754354|0-19|All Races|Male and Female|2004
~|~|~|~|XIe Skin carcinomas|81754354|0-19|All Races|Male and Female|2004
3.1|3.9|3.5|288|XIf Other and unspecified carcinomas|81754354|0-19|All Races|Male and Female|2004
1.5|2.1|1.8|148|Xa Intracranial and intraspinal germ cell tumors|81754354|0-19|All Races|Male and Female|2004
1.1|1.6|1.3|110|Xb Malignant extracranial and extragonadal germ cell tumors|81754354|0-19|All Races|Male and Female|2004
6.8|8.0|7.3|614|Xc Malignant gonadal germ cell tumors|81754354|0-19|All Races|Male and Female|2004
0.2|0.5|0.4|30|Xd Gonadal carcinomas|81754354|0-19|All Races|Male and Female|2004
0.2|0.5|0.3|26|Xe Other and unspecified malignant gonadal tumors|81754354|0-19|All Races|Male and Female|2004
169.6|175.3|172.4|14250|All ICCC Groups Combined|82005260|0-19|All Races|Male and Female|2005
43.0|45.9|44.4|3639|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|82005260|0-19|All Races|Male and Female|2005
24.6|26.8|25.7|2146|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|82005260|0-19|All Races|Male and Female|2005
29.1|31.5|30.3|2471|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|82005260|0-19|All Races|Male and Female|2005
2.6|3.4|3.0|243|IIIa Ependymomas and choroid plexus tumor|82005260|0-19|All Races|Male and Female|2005
14.7|16.4|15.5|1269|IIIb Astrocytomas|82005260|0-19|All Races|Male and Female|2005
5.4|6.4|5.9|476|IIIc Intracranial and intraspinal embryonal tumors|82005260|0-19|All Races|Male and Female|2005
4.4|5.4|4.9|395|IIId Other gliomas|82005260|0-19|All Races|Male and Female|2005
0.5|0.8|0.6|51|IIIe Other specified intracranial and intraspinal neoplasms|82005260|0-19|All Races|Male and Female|2005
0.3|0.6|0.5|37|IIIf Unspecified intracranial and intraspinal neoplasms|82005260|0-19|All Races|Male and Female|2005
12.0|13.5|12.7|1070|IIa Hodgkin lymphomas|82005260|0-19|All Races|Male and Female|2005
8.3|9.6|8.9|738|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|82005260|0-19|All Races|Male and Female|2005
2.2|2.9|2.5|205|IIc Burkitt lymphoma|82005260|0-19|All Races|Male and Female|2005
1.0|1.5|1.3|104|IId Miscellaneous lymphoreticular neoplasms|82005260|0-19|All Races|Male and Female|2005
