AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-19|18.7|19.3|19.0|15782|Incidence|82828260|All Cancer Sites Combined|2014
0-19|0.2|0.3|0.2|181|Mortality|82828260|Bones and Joints|2014
0-19|0.9|1.0|1.0|793|Incidence|82828260|Bones and Joints|2014
0-19|0.6|0.7|0.7|559|Mortality|82828260|Brain and Other Nervous System|2014
0-19|3.3|3.6|3.4|2837|Incidence|82828260|Brain and Other Nervous System|2014
0-19|~|~|~|~|Mortality|82828260|Hodgkin Lymphoma|2014
0-19|1.1|1.3|1.2|989|Incidence|82828260|Hodgkin Lymphoma|2014
0-19|0.0|0.1|0.0|34|Mortality|82828260|Kidney and Renal Pelvis|2014
0-19|0.7|0.8|0.8|623|Incidence|82828260|Kidney and Renal Pelvis|2014
0-19|0.5|0.6|0.5|456|Mortality|82828260|Leukemia|2014
0-19|4.4|4.7|4.5|3734|Incidence|82828260|Leukemia|2014
0-19|0.1|0.1|0.1|69|Mortality|82828260|Non-Hodgkin Lymphoma|2014
0-19|1.3|1.5|1.4|1142|Incidence|82828260|Non-Hodgkin Lymphoma|2014
0-19|0.4|0.5|0.5|389|Mortality|82828260|Other|2014
0-19|5.6|5.9|5.7|4765|Incidence|82828260|Other|2014
0-19|0.1|0.2|0.2|143|Mortality|82828260|Soft Tissue|2014
0-19|1.0|1.2|1.1|899|Incidence|82828260|Soft Tissue|2014
0-14|0.2|0.3|0.2|146|Mortality|61594394|Acute Lymphocytic|2015
0-14|3.9|4.3|4.1|2521|Incidence|61594394|Acute Lymphocytic|2015
0-14|0.2|0.2|0.2|119|Mortality|61594394|Acute Myeloid|2015
0-14|0.7|0.8|0.7|449|Incidence|61594394|Acute Myeloid|2015
0-14|2.0|2.2|2.1|1272|Mortality|61594394|All Cancer Sites Combined|2015
0-14|17.5|18.2|17.8|10987|Incidence|61594394|All Cancer Sites Combined|2015
0-14|0.1|0.2|0.1|84|Mortality|61594394|Bones and Joints|2015
0-14|0.7|0.9|0.8|480|Incidence|61594394|Bones and Joints|2015
0-14|0.6|0.8|0.7|430|Mortality|61594394|Brain and Other Nervous System|2015
0-14|3.5|3.8|3.6|2241|Incidence|61594394|Brain and Other Nervous System|2015
0-14|~|~|~|~|Mortality|61594394|Hodgkin Lymphoma|2015
0-14|0.5|0.6|0.6|361|Incidence|61594394|Hodgkin Lymphoma|2015
0-14|0.0|0.1|0.1|36|Mortality|61594394|Kidney and Renal Pelvis|2015
0-14|0.9|1.1|1.0|610|Incidence|61594394|Kidney and Renal Pelvis|2015
0-14|0.5|0.6|0.6|343|Mortality|61594394|Leukemia|2015
0-14|5.0|5.4|5.2|3189|Incidence|61594394|Leukemia|2015
0-14|0.0|0.1|0.1|35|Mortality|61594394|Non-Hodgkin Lymphoma|2015
0-14|0.9|1.1|1.0|629|Incidence|61594394|Non-Hodgkin Lymphoma|2015
0-14|0.3|0.4|0.4|235|Mortality|61594394|Other|2015
0-14|4.4|4.7|4.6|2814|Incidence|61594394|Other|2015
0-14|0.1|0.2|0.2|105|Mortality|61594394|Soft Tissue|2015
0-14|1.0|1.2|1.1|663|Incidence|61594394|Soft Tissue|2015
0-19|0.2|0.3|0.2|206|Mortality|82974459|Acute Lymphocytic|2015
0-19|3.4|3.7|3.5|2914|Incidence|82974459|Acute Lymphocytic|2015
0-19|0.2|0.2|0.2|175|Mortality|82974459|Acute Myeloid|2015
0-19|0.7|0.8|0.8|639|Incidence|82974459|Acute Myeloid|2015
0-19|2.1|2.3|2.2|1855|Mortality|82974459|All Cancer Sites Combined|2015
0-19|19.2|19.8|19.5|16256|Incidence|82974459|All Cancer Sites Combined|2015
0-19|0.2|0.3|0.2|197|Mortality|82974459|Bones and Joints|2015
0-19|0.9|1.0|0.9|784|Incidence|82974459|Bones and Joints|2015
0-19|0.6|0.7|0.6|531|Mortality|82974459|Brain and Other Nervous System|2015
0-19|3.2|3.5|3.3|2757|Incidence|82974459|Brain and Other Nervous System|2015
0-19|~|~|~|~|Mortality|82974459|Hodgkin Lymphoma|2015
0-19|1.1|1.3|1.2|1029|Incidence|82974459|Hodgkin Lymphoma|2015
0-19|0.0|0.1|0.1|44|Mortality|82974459|Kidney and Renal Pelvis|2015
0-19|0.7|0.9|0.8|663|Incidence|82974459|Kidney and Renal Pelvis|2015
0-19|0.5|0.6|0.6|490|Mortality|82974459|Leukemia|2015
0-19|4.5|4.8|4.7|3889|Incidence|82974459|Leukemia|2015
0-19|0.1|0.1|0.1|73|Mortality|82974459|Non-Hodgkin Lymphoma|2015
0-19|1.2|1.3|1.3|1056|Incidence|82974459|Non-Hodgkin Lymphoma|2015
0-19|0.4|0.5|0.4|350|Mortality|82974459|Other|2015
0-19|6.0|6.3|6.2|5146|Incidence|82974459|Other|2015
0-19|0.2|0.2|0.2|158|Mortality|82974459|Soft Tissue|2015
0-19|1.0|1.2|1.1|932|Incidence|82974459|Soft Tissue|2015
0-14|0.2|0.3|0.2|146|Mortality|61696945|Acute Lymphocytic|2016
0-14|4.0|4.3|4.1|2542|Incidence|61696945|Acute Lymphocytic|2016
0-14|0.2|0.3|0.2|133|Mortality|61696945|Acute Myeloid|2016
0-14|0.7|0.8|0.8|465|Incidence|61696945|Acute Myeloid|2016
0-14|2.0|2.3|2.1|1324|Mortality|61696945|All Cancer Sites Combined|2016
0-14|17.3|17.9|17.6|10878|Incidence|61696945|All Cancer Sites Combined|2016
0-14|0.1|0.2|0.1|82|Mortality|61696945|Bones and Joints|2016
0-14|0.7|0.9|0.8|507|Incidence|61696945|Bones and Joints|2016
0-14|0.7|0.8|0.7|444|Mortality|61696945|Brain and Other Nervous System|2016
0-14|3.5|3.8|3.7|2271|Incidence|61696945|Brain and Other Nervous System|2016
0-14|~|~|~|~|Mortality|61696945|Hodgkin Lymphoma|2016
0-14|0.5|0.6|0.6|352|Incidence|61696945|Hodgkin Lymphoma|2016
0-14|0.0|0.1|0.1|38|Mortality|61696945|Kidney and Renal Pelvis|2016
0-14|0.8|1.0|0.9|539|Incidence|61696945|Kidney and Renal Pelvis|2016
0-14|0.5|0.6|0.6|351|Mortality|61696945|Leukemia|2016
0-14|5.0|5.4|5.2|3226|Incidence|61696945|Leukemia|2016
0-14|0.0|0.1|0.1|31|Mortality|61696945|Non-Hodgkin Lymphoma|2016
0-14|1.0|1.2|1.1|666|Incidence|61696945|Non-Hodgkin Lymphoma|2016
0-14|0.4|0.5|0.4|269|Mortality|61696945|Other|2016
0-14|4.2|4.5|4.3|2671|Incidence|61696945|Other|2016
0-14|0.1|0.2|0.2|107|Mortality|61696945|Soft Tissue|2016
0-14|1.0|1.1|1.0|646|Incidence|61696945|Soft Tissue|2016
0-19|0.2|0.3|0.3|218|Mortality|83184415|Acute Lymphocytic|2016
0-19|3.4|3.7|3.5|2925|Incidence|83184415|Acute Lymphocytic|2016
0-19|0.2|0.2|0.2|179|Mortality|83184415|Acute Myeloid|2016
0-19|0.7|0.9|0.8|661|Incidence|83184415|Acute Myeloid|2016
0-19|2.2|2.4|2.3|1920|Mortality|83184415|All Cancer Sites Combined|2016
0-19|19.0|19.6|19.3|16116|Incidence|83184415|All Cancer Sites Combined|2016
0-19|0.2|0.3|0.2|200|Mortality|83184415|Bones and Joints|2016
0-19|0.9|1.1|1.0|833|Incidence|83184415|Bones and Joints|2016
0-19|0.6|0.7|0.7|552|Mortality|83184415|Brain and Other Nervous System|2016
0-19|3.2|3.4|3.3|2722|Incidence|83184415|Brain and Other Nervous System|2016
0-19|~|~|~|~|Mortality|83184415|Hodgkin Lymphoma|2016
0-19|1.2|1.3|1.2|1043|Incidence|83184415|Hodgkin Lymphoma|2016
0-19|0.0|0.1|0.1|51|Mortality|83184415|Kidney and Renal Pelvis|2016
0-19|0.7|0.8|0.7|584|Incidence|83184415|Kidney and Renal Pelvis|2016
0-19|0.5|0.7|0.6|499|Mortality|83184415|Leukemia|2016
0-19|4.6|4.9|4.7|3909|Incidence|83184415|Leukemia|2016
0-19|0.1|0.1|0.1|60|Mortality|83184415|Non-Hodgkin Lymphoma|2016
0-19|1.2|1.4|1.3|1085|Incidence|83184415|Non-Hodgkin Lymphoma|2016
0-19|0.4|0.5|0.5|385|Mortality|83184415|Other|2016
0-19|5.8|6.2|6.0|5034|Incidence|83184415|Other|2016
0-19|0.2|0.2|0.2|167|Mortality|83184415|Soft Tissue|2016
0-19|1.0|1.2|1.1|906|Incidence|83184415|Soft Tissue|2016
0-14|0.2|0.2|0.2|122|Mortality|61799838|Acute Lymphocytic|2017
0-14|3.8|4.1|3.9|2420|Incidence|61799838|Acute Lymphocytic|2017
0-14|0.2|0.2|0.2|128|Mortality|61799838|Acute Myeloid|2017
0-14|0.6|0.8|0.7|431|Incidence|61799838|Acute Myeloid|2017
0-14|1.9|2.1|2.0|1237|Mortality|61799838|All Cancer Sites Combined|2017
0-14|16.9|17.6|17.3|10671|Incidence|61799838|All Cancer Sites Combined|2017
0-14|0.1|0.1|0.1|67|Mortality|61799838|Bones and Joints|2017
0-14|0.7|0.8|0.8|477|Incidence|61799838|Bones and Joints|2017
0-14|0.6|0.8|0.7|422|Mortality|61799838|Brain and Other Nervous System|2017
0-14|3.7|4.0|3.8|2372|Incidence|61799838|Brain and Other Nervous System|2017
0-14|~|~|~|~|Mortality|61799838|Hodgkin Lymphoma|2017
0-14|0.5|0.6|0.6|355|Incidence|61799838|Hodgkin Lymphoma|2017
0-14|0.0|0.1|0.1|38|Mortality|61799838|Kidney and Renal Pelvis|2017
0-14|0.8|1.0|0.9|541|Incidence|61799838|Kidney and Renal Pelvis|2017
0-14|0.5|0.6|0.5|315|Mortality|61799838|Leukemia|2017
0-14|4.8|5.1|4.9|3061|Incidence|61799838|Leukemia|2017
0-14|0.0|0.1|0.1|34|Mortality|61799838|Non-Hodgkin Lymphoma|2017
0-14|0.9|1.1|1.0|617|Incidence|61799838|Non-Hodgkin Lymphoma|2017
0-14|0.4|0.5|0.4|258|Mortality|61799838|Other|2017
0-14|4.1|4.4|4.2|2620|Incidence|61799838|Other|2017
0-14|0.1|0.2|0.2|102|Mortality|61799838|Soft Tissue|2017
0-14|0.9|1.1|1.0|628|Incidence|61799838|Soft Tissue|2017
0-19|0.2|0.3|0.2|181|Mortality|83308218|Acute Lymphocytic|2017
0-19|3.2|3.5|3.3|2772|Incidence|83308218|Acute Lymphocytic|2017
0-19|0.2|0.3|0.2|187|Mortality|83308218|Acute Myeloid|2017
0-19|0.7|0.8|0.7|606|Incidence|83308218|Acute Myeloid|2017
0-19|2.1|2.3|2.2|1797|Mortality|83308218|All Cancer Sites Combined|2017
0-19|18.5|19.1|18.8|15739|Incidence|83308218|All Cancer Sites Combined|2017
0-19|0.2|0.2|0.2|171|Mortality|83308218|Bones and Joints|2017
0-19|0.9|1.0|1.0|806|Incidence|83308218|Bones and Joints|2017
0-19|0.6|0.7|0.6|519|Mortality|83308218|Brain and Other Nervous System|2017
0-19|3.4|3.6|3.5|2911|Incidence|83308218|Brain and Other Nervous System|2017
0-19|~|~|~|~|Mortality|83308218|Hodgkin Lymphoma|2017
0-19|1.1|1.3|1.2|1016|Incidence|83308218|Hodgkin Lymphoma|2017
0-19|0.0|0.1|0.1|47|Mortality|83308218|Kidney and Renal Pelvis|2017
0-19|0.7|0.8|0.7|584|Incidence|83308218|Kidney and Renal Pelvis|2017
0-19|0.5|0.6|0.6|460|Mortality|83308218|Leukemia|2017
0-19|4.3|4.6|4.5|3702|Incidence|83308218|Leukemia|2017
0-19|0.1|0.1|0.1|58|Mortality|83308218|Non-Hodgkin Lymphoma|2017
0-19|1.2|1.3|1.2|1029|Incidence|83308218|Non-Hodgkin Lymphoma|2017
0-19|0.4|0.5|0.4|368|Mortality|83308218|Other|2017
0-19|5.5|5.9|5.7|4788|Incidence|83308218|Other|2017
0-19|0.2|0.2|0.2|164|Mortality|83308218|Soft Tissue|2017
0-19|1.0|1.2|1.1|903|Incidence|83308218|Soft Tissue|2017
0-14|3.9|4.3|4.1|2531|Incidence|61786818|Acute Lymphocytic|2018
0-14|0.6|0.8|0.7|432|Incidence|61786818|Acute Myeloid|2018
0-14|17.0|17.6|17.3|10688|Incidence|61786818|All Cancer Sites Combined|2018
0-14|0.7|0.9|0.8|512|Incidence|61786818|Bones and Joints|2018
0-14|3.3|3.6|3.5|2130|Incidence|61786818|Brain and Other Nervous System|2018
0-14|0.5|0.7|0.6|370|Incidence|61786818|Hodgkin Lymphoma|2018
0-14|0.8|1.0|0.9|537|Incidence|61786818|Kidney and Renal Pelvis|2018
0-14|5.0|5.4|5.2|3190|Incidence|61786818|Leukemia|2018
0-14|0.9|1.1|1.0|637|Incidence|61786818|Non-Hodgkin Lymphoma|2018
0-14|4.2|4.5|4.4|2703|Incidence|61786818|Other|2018
0-14|0.9|1.1|1.0|609|Incidence|61786818|Soft Tissue|2018
0-19|3.4|3.7|3.6|2960|Incidence|83321994|Acute Lymphocytic|2018
0-19|0.7|0.8|0.7|606|Incidence|83321994|Acute Myeloid|2018
0-19|18.7|19.3|19.0|15865|Incidence|83321994|All Cancer Sites Combined|2018
0-19|0.9|1.1|1.0|838|Incidence|83321994|Bones and Joints|2018
0-19|3.0|3.3|3.1|2609|Incidence|83321994|Brain and Other Nervous System|2018
0-19|1.1|1.3|1.2|1039|Incidence|83321994|Hodgkin Lymphoma|2018
0-19|0.7|0.8|0.7|582|Incidence|83321994|Kidney and Renal Pelvis|2018
0-19|4.6|4.9|4.7|3903|Incidence|83321994|Leukemia|2018
0-19|1.1|1.3|1.2|1019|Incidence|83321994|Non-Hodgkin Lymphoma|2018
0-19|5.8|6.2|6.0|5038|Incidence|83321994|Other|2018
0-19|0.9|1.1|1.0|837|Incidence|83321994|Soft Tissue|2018
0-14|4.0|4.1|4.0|12253|Incidence|305444197|Acute Lymphocytic|2018-2022
0-14|0.7|0.7|0.7|2116|Incidence|305444197|Acute Myeloid|2018-2022
0-14|16.5|16.8|16.6|50644|Incidence|305444197|All Cancer Sites Combined|2018-2022
0-14|0.7|0.8|0.8|2388|Incidence|305444197|Bones and Joints|2018-2022
0-14|3.2|3.3|3.3|9985|Incidence|305444197|Brain and Other Nervous System|2018-2022
0-14|0.5|0.6|0.6|1734|Incidence|305444197|Hodgkin Lymphoma|2018-2022
0-14|0.8|0.9|0.9|2637|Incidence|305444197|Kidney and Renal Pelvis|2018-2022
0-14|4.9|5.1|5.0|15266|Incidence|305444197|Leukemia|2018-2022
0-14|1.0|1.1|1.1|3263|Incidence|305444197|Non-Hodgkin Lymphoma|2018-2022
0-14|4.0|4.1|4.0|12258|Incidence|305444197|Other|2018-2022
0-14|1.0|1.1|1.0|3113|Incidence|305444197|Soft Tissue|2018-2022
0-19|3.4|3.5|3.5|14272|Incidence|413514777|Acute Lymphocytic|2018-2022
0-19|0.7|0.8|0.7|3047|Incidence|413514777|Acute Myeloid|2018-2022
0-19|18.3|18.6|18.4|76427|Incidence|413514777|All Cancer Sites Combined|2018-2022
0-19|0.9|1.0|1.0|4040|Incidence|413514777|Bones and Joints|2018-2022
0-19|3.0|3.1|3.0|12385|Incidence|413514777|Brain and Other Nervous System|2018-2022
0-19|1.2|1.2|1.2|5140|Incidence|413514777|Hodgkin Lymphoma|2018-2022
0-19|0.7|0.7|0.7|2901|Incidence|413514777|Kidney and Renal Pelvis|2018-2022
0-19|4.5|4.6|4.6|18715|Incidence|413514777|Leukemia|2018-2022
0-19|1.2|1.3|1.3|5304|Incidence|413514777|Non-Hodgkin Lymphoma|2018-2022
0-19|5.6|5.7|5.7|23631|Incidence|413514777|Other|2018-2022
0-19|1.0|1.1|1.0|4311|Incidence|413514777|Soft Tissue|2018-2022
0-14|3.8|4.1|3.9|2405|Incidence|61633127|Acute Lymphocytic|2019
0-14|0.7|0.8|0.7|448|Incidence|61633127|Acute Myeloid|2019
0-14|16.4|17.1|16.8|10314|Incidence|61633127|All Cancer Sites Combined|2019
0-14|0.7|0.9|0.8|501|Incidence|61633127|Bones and Joints|2019
0-14|3.1|3.4|3.3|2023|Incidence|61633127|Brain and Other Nervous System|2019
0-14|0.5|0.6|0.5|344|Incidence|61633127|Hodgkin Lymphoma|2019
0-14|0.7|0.9|0.8|499|Incidence|61633127|Kidney and Renal Pelvis|2019
0-14|4.8|5.1|4.9|3034|Incidence|61633127|Leukemia|2019
0-14|0.9|1.0|1.0|593|Incidence|61633127|Non-Hodgkin Lymphoma|2019
0-14|4.1|4.5|4.3|2643|Incidence|61633127|Other|2019
0-14|1.0|1.2|1.1|677|Incidence|61633127|Soft Tissue|2019
0-19|3.3|3.5|3.4|2793|Incidence|83213818|Acute Lymphocytic|2019
0-19|0.7|0.8|0.8|627|Incidence|83213818|Acute Myeloid|2019
0-19|18.4|19.0|18.7|15567|Incidence|83213818|All Cancer Sites Combined|2019
0-19|0.9|1.0|0.9|801|Incidence|83213818|Bones and Joints|2019
0-19|2.9|3.1|3.0|2505|Incidence|83213818|Brain and Other Nervous System|2019
0-19|1.2|1.3|1.2|1047|Incidence|83213818|Hodgkin Lymphoma|2019
0-19|0.6|0.7|0.7|552|Incidence|83213818|Kidney and Renal Pelvis|2019
0-19|4.3|4.6|4.5|3704|Incidence|83213818|Leukemia|2019
0-19|1.1|1.3|1.2|999|Incidence|83213818|Non-Hodgkin Lymphoma|2019
0-19|5.8|6.1|6.0|5003|Incidence|83213818|Other|2019
0-19|1.1|1.2|1.2|956|Incidence|83213818|Soft Tissue|2019
0-14|3.9|4.3|4.1|2503|Incidence|61331347|Acute Lymphocytic|2020
0-14|0.6|0.8|0.7|420|Incidence|61331347|Acute Myeloid|2020
0-14|16.0|16.6|16.3|9968|Incidence|61331347|All Cancer Sites Combined|2020
0-14|0.6|0.7|0.7|416|Incidence|61331347|Bones and Joints|2020
0-14|3.0|3.3|3.1|1909|Incidence|61331347|Brain and Other Nervous System|2020
0-14|0.5|0.6|0.5|328|Incidence|61331347|Hodgkin Lymphoma|2020
0-14|0.9|1.0|0.9|561|Incidence|61331347|Kidney and Renal Pelvis|2020
0-14|4.9|5.3|5.1|3101|Incidence|61331347|Leukemia|2020
0-14|0.9|1.1|1.0|617|Incidence|61331347|Non-Hodgkin Lymphoma|2020
0-14|3.8|4.2|4.0|2430|Incidence|61331347|Other|2020
0-14|0.9|1.1|1.0|606|Incidence|61331347|Soft Tissue|2020
0-19|3.4|3.6|3.5|2878|Incidence|82873432|Acute Lymphocytic|2020
0-19|0.7|0.8|0.7|602|Incidence|82873432|Acute Myeloid|2020
0-19|17.7|18.3|18.0|14912|Incidence|82873432|All Cancer Sites Combined|2020
0-19|0.8|1.0|0.9|750|Incidence|82873432|Bones and Joints|2020
0-19|2.8|3.0|2.9|2411|Incidence|82873432|Brain and Other Nervous System|2020
0-19|1.1|1.2|1.2|982|Incidence|82873432|Hodgkin Lymphoma|2020
0-19|0.7|0.8|0.8|610|Incidence|82873432|Kidney and Renal Pelvis|2020
0-19|4.4|4.7|4.6|3746|Incidence|82873432|Leukemia|2020
0-19|1.1|1.3|1.2|1022|Incidence|82873432|Non-Hodgkin Lymphoma|2020
0-19|5.3|5.6|5.5|4553|Incidence|82873432|Other|2020
0-19|0.9|1.1|1.0|838|Incidence|82873432|Soft Tissue|2020
0-14|3.9|4.2|4.0|2428|Incidence|60622548|Acute Lymphocytic|2021
0-14|0.6|0.7|0.7|407|Incidence|60622548|Acute Myeloid|2021
0-14|16.2|16.9|16.6|9991|Incidence|60622548|All Cancer Sites Combined|2021
0-14|0.7|0.8|0.7|464|Incidence|60622548|Bones and Joints|2021
0-14|3.2|3.5|3.3|2007|Incidence|60622548|Brain and Other Nervous System|2021
0-14|0.5|0.6|0.5|327|Incidence|60622548|Hodgkin Lymphoma|2021
0-14|0.8|1.0|0.9|541|Incidence|60622548|Kidney and Renal Pelvis|2021
0-14|4.8|5.2|5.0|2996|Incidence|60622548|Leukemia|2021
0-14|1.1|1.3|1.2|720|Incidence|60622548|Non-Hodgkin Lymphoma|2021
0-14|3.7|4.0|3.8|2286|Incidence|60622548|Other|2021
0-14|1.0|1.2|1.1|650|Incidence|60622548|Soft Tissue|2021
0-19|3.4|3.6|3.5|2823|Incidence|82201873|Acute Lymphocytic|2021
0-19|0.7|0.8|0.7|600|Incidence|82201873|Acute Myeloid|2021
0-19|18.1|18.6|18.4|15094|Incidence|82201873|All Cancer Sites Combined|2021
0-19|0.9|1.0|1.0|800|Incidence|82201873|Bones and Joints|2021
0-19|2.9|3.2|3.0|2488|Incidence|82201873|Brain and Other Nervous System|2021
0-19|1.1|1.3|1.2|1015|Incidence|82201873|Hodgkin Lymphoma|2021
0-19|0.7|0.8|0.7|591|Incidence|82201873|Kidney and Renal Pelvis|2021
0-19|4.4|4.7|4.5|3682|Incidence|82201873|Leukemia|2021
0-19|1.3|1.4|1.4|1132|Incidence|82201873|Non-Hodgkin Lymphoma|2021
0-19|5.3|5.6|5.5|4510|Incidence|82201873|Other|2021
0-19|1.0|1.2|1.1|876|Incidence|82201873|Soft Tissue|2021
0-14|3.9|4.2|4.0|2386|Incidence|60070357|Acute Lymphocytic|2022
0-14|0.6|0.8|0.7|409|Incidence|60070357|Acute Myeloid|2022
0-14|15.9|16.5|16.2|9683|Incidence|60070357|All Cancer Sites Combined|2022
0-14|0.7|0.9|0.8|495|Incidence|60070357|Bones and Joints|2022
0-14|3.1|3.4|3.2|1916|Incidence|60070357|Brain and Other Nervous System|2022
0-14|0.5|0.7|0.6|365|Incidence|60070357|Hodgkin Lymphoma|2022
0-14|0.8|0.9|0.8|499|Incidence|60070357|Kidney and Renal Pelvis|2022
0-14|4.8|5.1|4.9|2945|Incidence|60070357|Leukemia|2022
0-14|1.1|1.2|1.2|696|Incidence|60070357|Non-Hodgkin Lymphoma|2022
0-14|3.5|3.8|3.7|2196|Incidence|60070357|Other|2022
0-14|0.9|1.0|1.0|571|Incidence|60070357|Soft Tissue|2022
0-19|3.4|3.6|3.5|2818|Incidence|81903660|Acute Lymphocytic|2022
0-19|0.7|0.8|0.7|612|Incidence|81903660|Acute Myeloid|2022
0-19|17.9|18.5|18.2|14989|Incidence|81903660|All Cancer Sites Combined|2022
0-19|0.9|1.1|1.0|851|Incidence|81903660|Bones and Joints|2022
0-19|2.8|3.0|2.9|2372|Incidence|81903660|Brain and Other Nervous System|2022
0-19|1.2|1.3|1.2|1057|Incidence|81903660|Hodgkin Lymphoma|2022
0-19|0.7|0.8|0.7|566|Incidence|81903660|Kidney and Renal Pelvis|2022
0-19|4.4|4.7|4.5|3680|Incidence|81903660|Leukemia|2022
0-19|1.3|1.4|1.4|1132|Incidence|81903660|Non-Hodgkin Lymphoma|2022
0-19|5.3|5.6|5.4|4527|Incidence|81903660|Other|2022
0-19|0.9|1.1|1.0|804|Incidence|81903660|Soft Tissue|2022
0-14|0.2|0.2|0.2|118|Mortality|60879327|Acute Lymphocytic|2018
0-14|0.2|0.2|0.2|127|Mortality|60879327|Acute Myeloid|2018
0-14|1.9|2.1|2.0|1220|Mortality|60879327|All Cancer Sites Combined|2018
0-14|0.1|0.2|0.2|97|Mortality|60879327|Bones and Joints|2018
0-14|0.6|0.7|0.7|409|Mortality|60879327|Brain and Other Nervous System|2018
0-14|~|~|~|~|Mortality|60879327|Hodgkin Lymphoma|2018
0-14|0.0|0.1|0.1|41|Mortality|60879327|Kidney and Renal Pelvis|2018
0-14|0.4|0.5|0.5|297|Mortality|60879327|Leukemia|2018
0-14|0.0|0.1|0.0|29|Mortality|60879327|Non-Hodgkin Lymphoma|2018
0-14|0.3|0.4|0.4|233|Mortality|60879327|Other|2018
0-14|0.1|0.2|0.2|111|Mortality|60879327|Soft Tissue|2018
0-19|0.2|0.3|0.2|196|Mortality|81956393|Acute Lymphocytic|2018
0-19|0.2|0.3|0.2|178|Mortality|81956393|Acute Myeloid|2018
0-19|2.1|2.3|2.2|1841|Mortality|81956393|All Cancer Sites Combined|2018
0-19|0.2|0.3|0.2|195|Mortality|81956393|Bones and Joints|2018
0-19|0.6|0.7|0.7|532|Mortality|81956393|Brain and Other Nervous System|2018
0-19|~|~|~|~|Mortality|81956393|Hodgkin Lymphoma|2018
0-19|0.0|0.1|0.1|50|Mortality|81956393|Kidney and Renal Pelvis|2018
0-19|0.5|0.6|0.6|459|Mortality|81956393|Leukemia|2018
0-19|0.1|0.1|0.1|55|Mortality|81956393|Non-Hodgkin Lymphoma|2018
0-19|0.4|0.5|0.4|346|Mortality|81956393|Other|2018
0-19|0.2|0.3|0.2|192|Mortality|81956393|Soft Tissue|2018
0-14|0.2|0.3|0.2|136|Mortality|60613145|Acute Lymphocytic|2019
0-14|0.2|0.2|0.2|111|Mortality|60613145|Acute Myeloid|2019
0-14|1.7|1.9|1.8|1115|Mortality|60613145|All Cancer Sites Combined|2019
0-14|0.1|0.2|0.1|73|Mortality|60613145|Bones and Joints|2019
0-14|0.6|0.7|0.6|381|Mortality|60613145|Brain and Other Nervous System|2019
0-14|~|~|~|~|Mortality|60613145|Hodgkin Lymphoma|2019
0-14|0.0|0.1|0.1|35|Mortality|60613145|Kidney and Renal Pelvis|2019
0-14|0.4|0.5|0.5|292|Mortality|60613145|Leukemia|2019
0-14|0.0|0.1|0.0|23|Mortality|60613145|Non-Hodgkin Lymphoma|2019
0-14|0.3|0.4|0.4|234|Mortality|60613145|Other|2019
0-14|0.1|0.2|0.1|77|Mortality|60613145|Soft Tissue|2019
0-19|0.2|0.3|0.2|189|Mortality|81679568|Acute Lymphocytic|2019
0-19|0.1|0.2|0.2|139|Mortality|81679568|Acute Myeloid|2019
0-19|2.0|2.2|2.1|1704|Mortality|81679568|All Cancer Sites Combined|2019
0-19|0.2|0.3|0.2|191|Mortality|81679568|Bones and Joints|2019
0-19|0.6|0.7|0.6|513|Mortality|81679568|Brain and Other Nervous System|2019
0-19|~|~|~|~|Mortality|81679568|Hodgkin Lymphoma|2019
0-19|0.0|0.1|0.1|46|Mortality|81679568|Kidney and Renal Pelvis|2019
0-19|0.4|0.5|0.5|405|Mortality|81679568|Leukemia|2019
0-19|0.1|0.1|0.1|65|Mortality|81679568|Non-Hodgkin Lymphoma|2019
0-19|0.4|0.5|0.4|342|Mortality|81679568|Other|2019
0-19|0.1|0.2|0.2|137|Mortality|81679568|Soft Tissue|2019
0-14|0.2|0.2|0.2|661|Mortality|302135878|Acute Lymphocytic|2019-2023
0-14|0.2|0.2|0.2|496|Mortality|302135878|Acute Myeloid|2019-2023
0-14|1.8|1.9|1.9|5705|Mortality|302135878|All Cancer Sites Combined|2019-2023
0-14|0.1|0.2|0.1|424|Mortality|302135878|Bones and Joints|2019-2023
0-14|0.6|0.7|0.6|1925|Mortality|302135878|Brain and Other Nervous System|2019-2023
0-14|~|~|~|~|Mortality|302135878|Hodgkin Lymphoma|2019-2023
0-14|0.1|0.1|0.1|194|Mortality|302135878|Kidney and Renal Pelvis|2019-2023
0-14|0.4|0.5|0.5|1419|Mortality|302135878|Leukemia|2019-2023
0-14|0.0|0.0|0.0|119|Mortality|302135878|Non-Hodgkin Lymphoma|2019-2023
0-14|0.4|0.4|0.4|1166|Mortality|302135878|Other|2019-2023
0-14|0.1|0.2|0.1|453|Mortality|302135878|Soft Tissue|2019-2023
0-19|0.2|0.3|0.2|991|Mortality|410232494|Acute Lymphocytic|2019-2023
0-19|0.2|0.2|0.2|710|Mortality|410232494|Acute Myeloid|2019-2023
0-19|2.1|2.2|2.1|8729|Mortality|410232494|All Cancer Sites Combined|2019-2023
0-19|0.2|0.3|0.2|1055|Mortality|410232494|Bones and Joints|2019-2023
0-19|0.6|0.6|0.6|2551|Mortality|410232494|Brain and Other Nervous System|2019-2023
